name_id,old_name,new_name
500288,djalma régis bittencourt,"Régis Bittencourt, Djalma"
103563,do mau,"Mau, do"
103569,dom pedro ii,Dom Pedro II
500289,domício gondim,"Gondim, Domício"
115094,donald b. adams,"B. Adams, Donald"
108876,donald f. mchenry,"F. Mchenry, Donald"
106529,donald jamieson,"Jamieson, Donald"
114601,donald willesee,"Willesee, Donald"
500290,donatello grieco,"Grieco, Donatello"
116195,dudley thompson,"Thompson, Dudley"
500291,duque de caxias,"de Caxias, Duque"
111898,durward v. sandifer,Durward V. Sandifer
103887,dwight d. eisenhower,"D. Eisenhower, Dwight"
500292,décio miranda,"Miranda, Décio"
500293,délio jardim de matos,"Jardim de Matos, Délio"
102805,e. d. r. cook,"D. R. Cook, e."
115713,e. f. koenig,"F. Koenig, e."
102684,e. h. w. cobb,"H. W. Cobb, e."
500294,e. l. de oliveira júnior,"L. de Oliveira Júnior, e."
500295,e. l. de rezende,"L. de Rezende, e."
500296,e. l. resende,"L. Resende, e."
112338,e. l. sheehan,"L. Sheehan, e."
500297,e. m. feinberg,"M. Feinberg, e."
105828,e. o. herbert,"O. Herbert, e."
103571,e. p. donaldson,"P. Donaldson, e."
111354,e. r. richardson,"R. Richardson, e."
114197,e. r. walker,"R. Walker, e."
102032,earl l. butz,"L. Butz, Earl"
500298,edgar dutra,"Dutra, Edgar"
500299,edmar fetter,"Fetter, Edmar"
103325,edmund dell,"Dell, Edmund"
500300,ednardo d'ávila mello,"D'Ávila Mello, Ednardo"
115266,edner brutus,"Brutus, Edner"
111923,edouard saouma,"Saouma, Edouard"
500301,edson arantes do nascimento (pelé),"Arantes do Nascimento (Pelé), Edson"
500302,edson gueiros leitão,"Gueiros Leitão, Edson"
500303,eduardo frey,"Frey, Eduardo"
500304,eduardo gomes,"Gomes, Eduardo"
500305,eduardo moreira,"Moreira, Eduardo"
500306,eduardo paes,"Paes, Eduardo"
500307,eduardo victor haedo,"Victor Haedo, Eduardo"
111560,eduardo z. romualdez,"Z. Romualdez, Eduardo"
105447,edvard hambro,"Hambro, Edvard"
101359,edward c. bittner,"C. Bittner, Edward"
104087,edward everett,"Everett, Edward"
107024,edward kennedy,"Kennedy, Edward"
107314,edward koch,"Koch, Edward"
110478,edward peal,"Peal, Edward"
111685,edward rowlands,"Rowlands, Edward"
103848,edward vii,Edward VII
116255,edward warner,"Warner, Edward"
104725,edwin jacob garn,"Jacob Garn, Edwin"
100758,egon bahr,"Bahr, Egon"
500310,egon forgacs,"Forgacs, Egon"
100693,ehud avriel,"Avriel, Ehud"
111954,eisaku sato,"Sato, Eisaku"
500312,eliane gurgel valente,"Gurgel Valente, Eliane"
111942,elias sarkis,"Sarkis, Elias"
500313,eliezer batista,"Batista, Eliezer"
111586,elihu root,"Root, Elihu"
103927,elizabeth ii,Elizabeth II
106684,ellen johnson-sirleaf,"Johnson-Sirleaf, Ellen"
101933,ellsworth f. bunker,"F. Bunker, Ellsworth"
500314,elmo serejo,"Serejo, Elmo"
112883,emil a. stadelhofer,"A. Stadelhofer, Emil"
500315,emil hoffman,"Hoffman, Emil"
5091,emílio garrastazu médici,"Garrastazu Médici, Emílio"
101232,enrico berlinguer,"Berlinguer, Enrico"
500317,enrique iglesias,"Iglesias, Enrique"
113437,enrique tejera parís,"Tejera París, Enrique"
112467,ensio siilasvuo,"Siilasvuo, Ensio"
106930,ephraim katzir,"Katzir, Ephraim"
110588,epitácio pessoa,"Pessoa, Epitácio"
500318,eraldo gueiros,"Gueiros, Eraldo"
114608,eric e. williams,"e. Williams, Eric"
106625,eric g. john,"G. John, Eric"
106686,eric johnston,"Johnston, Eric"
104651,eric m. gairy,"M. Gairy, Eric"
500320,erik suy,"Suy, Erik"
500321,ermelino matarazzo,"Matarazzo, Ermelino"
500322,ernani ayrosa da silva,"Ayrosa da Silva, Ernani"
500323,ernani sátiro,"Sátiro, Ernani"
106038,ernest f. hollings,"F. Hollings, Ernest"
500324,ernesto dornelles,"Dornelles, Ernesto"
104788,ernesto geisel,"Geisel, Ernesto"
500325,ernesto silva,"Silva, Ernesto"
500326,ernesto valente,"Valente, Ernesto"
500327,ernâni do amaral peixoto,"do Amaral Peixoto, Ernâni"
100943,errol w. barrow,"W. Barrow, Errol"
500328,esdras gueiros,"Gueiros, Esdras"
500329,estelita lins,"Lins, Estelita"
500330,estácio coimbra,"Coimbra, Estácio"
500331,euclides da cunha,"da Cunha, Euclides"
500332,euclides quandt,"Quandt, Euclides"
500333,euclides triches,"Triches, Euclides"
101368,eugene black,"Black, Eugene"
105260,eugenio gudin,"Gudin, Eugenio"
500335,eugênio gudin,"Gudin, Eugênio"
500336,eugênio sales,"Sales, Eugênio"
500337,euler bentes,"Bentes, Euler"
500338,euler bentes monteiro,"Bentes Monteiro, Euler"
500339,eunice weaver,"Weaver, Eunice"
500340,eurico ,Eurico 
500341,eurico penteado,"Penteado, Eurico"
500342,euro brandão,"Brandão, Euro"
112199,eustace e. seignoret,"e. Seignoret, Eustace"
500343,euvaldo lodi,"Lodi, Euvaldo"
500344,evaldo lodi,"Lodi, Evaldo"
500345,evandro carreira,"Carreira, Evandro"
114405,ezer weizman,"Weizman, Ezer"
102833,f. b. cooper,"B. Cooper, F."
109435,f. bradford morse,"Bradford Morse, F."
500346,f. chermont,"Chermont, F."
108547,f. ray marshall,"Ray Marshall, F."
104156,farouk i,Farouk I
500347,felipe gonzales,"Gonzales, Felipe"
105009,felipe gonzalez,"Gonzalez, Felipe"
500348,fernandes távora,"Távora, Fernandes"
500349,fernando abott,"Abott, Fernando"
500350,fernando belfort bethlem,"Belfort Bethlem, Fernando"
500351,fernando coelho,"Coelho, Fernando"
500352,fernando costa,"Costa, Fernando"
500353,fernando falcão,"Falcão, Fernando"
500354,fernando fontoura,"Fontoura, Fernando"
500355,fernando gabeira,"Gabeira, Fernando"
500356,fernando gasparian ,"Gasparian , Fernando"
500357,fernando luz,"Luz, Fernando"
500358,fernando lyra,"Lyra, Fernando"
500359,fernando oscar weibert,"Oscar Weibert, Fernando"
